source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,astrometric_excess_noise,teff_gspphot,radius_gspphot,add_teff,add_r,add_g,add_b
1420101696285626624,256.33346232929046,54.47105361648125,36.79023461128562,0.11712275,5.5903277,5.8114924,5.17297,0.6385226,1.2660681,0.37399513,,,5820.691625653585,1.0,0.953451724312932,0.9089451809221534
1420101696287738368,256.3334175281892,54.4703527129838,36.76076542523742,0.06402261,5.508497,5.7279563,5.0956926,0.63226366,1.4033824,0.38899553,,,5844.022066288136,1.0,0.9550121204772785,0.9115677683606727
1460868357627586432,196.97327882275843,27.555677663564147,6.929334078391535,0.034349423,5.7519093,6.445354,4.9451437,1.5002103,1.0934458,0.19306216,,,3793.190206098476,1.0,0.7864142350995813,0.612499297829317
1493187509789776000,219.5518143375385,43.64226526699957,3.4949714840097967,0.048133332,5.1737933,5.9872656,4.2846465,1.7026191,1.0602663,0.42858505,,,3512.180000682529,1.0,0.7563894685241104,0.5549011898360061
1497007144465726080,207.9462618233544,39.66933270802825,2.503215467846958,0.03272897,5.9430594,7.687659,4.6496615,3.0379972,1.1436937,0.27065372,,,2370.384310885797,1.0,0.6030153096765623,0.22568545544359908
1505343882144388864,211.9823847349536,43.85431544066182,6.011020313112767,0.15537076,3.792248,5.485092,2.6782765,2.8068156,2.7602763,1.2582816,,,2510.677379451862,1.0,0.6254451918037852,0.2786301516346335
1574672346588012800,186.26325269491625,56.777773553165225,3.8461443365225647,0.06328245,4.8861985,6.090091,3.7806554,2.3094358,1.0954026,0.53804946,,,2878.683644426931,1.0,0.6788007579547496,0.3970564001210893
1576850723937017216,195.183114888134,56.36635375952709,39.46283086083256,0.11993159,4.8859625,5.0164657,4.4981713,0.51829433,1.276843,0.959672,6694.75,1.7353,6307.065050242347,1.0,0.9847562979694876,0.9611590608981901
1580673966384344960,191.82915213986132,62.78117825167854,15.453783077971444,0.029118022,5.8530855,5.945646,5.666757,0.2788887,1.0067774,0.25478065,7706.222,2.1626,7598.725394885266,0.8937759852675672,0.9165025831244875,1.0
1597757387783227008,233.81735191169977,53.92215081741584,8.81144441439755,0.04598376,5.629723,6.2183943,4.9152837,1.3031106,1.7544007,0.40890282,4633.8066,12.6203,4115.883951901996,1.0,0.8182629195963772,0.6718872807394211
1598002510156627456,233.9873704019351,54.630503398450905,13.907736353066774,0.2704356,5.764079,5.7750635,5.7168455,0.058218002,4.601277,2.0872953,9032.077,2.0983,9452.612649645682,0.8066561987504152,0.8647359060640936,1.0
1624451193643188864,248.75245151164077,60.468154932261776,2.425977451130869,0.03155141,5.7754393,7.6673203,4.4600897,3.2072306,0.7805607,0.22085147,,,2277.3886603704163,1.0,0.5874032165179452,0.18751250309975487
1651268660203160448,265.4848727514217,72.14766082787942,43.94996607865284,0.86245966,4.4444957,4.6827946,4.0744977,0.6082969,3.4271324,4.421839,6403.079,1.8257,5935.246089156447,1.0,0.9610541804485356,0.9217024625274123
1651268763282397312,265.49259095531403,72.15567296217928,44.0496211798809,0.051485743,5.6569943,5.9110875,5.221979,0.6891084,0.9080683,0.35680223,6113.6846,1.2856,5639.203449740182,1.0,0.9410953958826065,0.8880997684781746
1683112784684915456,188.68299231546547,70.02175947341266,6.615919033119575,0.42382333,4.4447007,5.186603,3.6030626,1.5835404,4.5937185,3.2479372,4561.9634,30.4722,3672.0305332356224,1.0,0.7737511649663481,0.5884104109309733
1692365552989740928,184.70765754693772,75.16057861696932,10.168973219396024,0.05832586,5.447877,5.4704604,5.3804336,0.090026855,0.96297556,0.48503643,8661.298,3.1878,9125.19264144608,0.8174334157295777,0.8712666694054578,1.0
1707399209837352064,236.01507917362505,77.79448391626615,9.082743608731574,0.14224185,4.2679734,4.289688,4.191795,0.09789324,2.4473126,1.4418316,9173.32,5.816,9048.053237002297,0.8201593197229868,0.8729125891698694,1.0
1733281541754737024,316.14444029508445,5.5028676953966045,2.663458085991987,0.093989626,4.9842887,5.881092,4.053381,1.8277111,1.2743251,0.54652697,4270.3726,116.3582,3359.0469002645514,1.0,0.7389997665544202,0.520737165354213
1786562122890790016,324.43976335059347,19.31867092906481,11.217083134712812,0.067125075,5.3765383,5.538774,5.085389,0.45338488,0.9964065,0.39534903,6997.5405,4.5637,6608.153798134426,1.0,0.9858976704508489,1.0
1792369296632990848,320.26948860809955,23.855437709743036,11.681043812314174,0.09271464,5.2896385,5.8268666,4.6037683,1.2230983,1.1190808,0.43699843,4865.8057,10.3363,4263.899128862124,1.0,0.8320446605134739,0.6970973165110587
1794238260239888768,326.51822141697903,22.94886808459116,2.367278446734679,0.12787628,4.848323,5.5444193,4.0593114,1.4851079,1.3967183,0.6730128,,,3816.0442469670484,1.0,0.7887574319625426,0.616925762423753
1795337256472746624,329.95655140849897,23.940773642617568,2.417120909773925,0.10599843,4.710875,7.21493,3.3539314,3.8609986,1.2700373,0.69317883,,,1978.394333542821,1.0,0.5325016180468488,0.04266077909389165
1796736625538995072,328.26575183722247,25.925131465395555,5.809409921377011,0.12641995,5.0499134,4.9679556,5.1967154,-0.22875977,1.3076508,0.78758824,14584.06,4.5292,14320.285964365274,0.7174729578856253,0.8091658494605939,1.0
1808075236135604736,300.8750865639461,16.03121591396276,4.954561976060528,0.055007517,5.6406007,5.586789,5.70044,-0.1136508,0.82304764,0.42006296,12043.517,4.4286,11807.607092442428,0.752669407935989,0.8314353995856594,1.0
1808282768947879808,303.56949986779455,15.19786217788333,20.90535943011212,0.13632162,4.923669,4.9587493,4.864887,0.09386206,1.0474186,0.9209752,8782.045,1.9904,9087.40250507577,0.8187591754838386,0.8720674687815937,1.0
1808982706876754048,305.6109988355528,16.916600238489345,3.060319750489543,0.05043931,5.8618755,7.7439175,4.5306187,3.2132988,0.99608064,0.27253854,,,2274.1916443900864,1.0,0.586855232230052,0.18615127477317459
1834299138218945664,300.4363299740508,24.80040820016702,3.439014145852929,0.108347245,5.8602605,5.7839317,5.9677672,-0.1838355,1.7513324,0.7854669,,,13207.291762101857,0.7313293528997706,0.8179883448413058,1.0
1853245544613473792,320.6754404495516,30.309918729042973,9.18323763388148,0.029399438,5.7996316,6.315044,5.126101,1.1889429,1.0121454,0.17507891,,,4330.537590833587,1.0,0.8380939126618179,0.708076176032352
1919801010665621504,353.6948162376428,38.02405257049735,3.909821737262896,0.029004013,5.534423,6.4424257,4.587993,1.8544326,0.99360484,0.21041611,,,3328.104629039935,1.0,0.7353898300668392,0.5135650925652308
1963714268134133120,321.44597546549136,36.66734285465202,0.4642402239671806,0.04250182,5.8740473,5.8125687,5.9277225,-0.11515379,0.99132293,0.4162159,,,11834.11356840839,0.7522129950886368,0.8311495406543159,1.0
1966944805097205120,325.0466635666042,43.273906597881656,7.339521097244705,0.08317643,4.358688,5.354659,3.3640866,1.9905725,1.0846391,0.7254521,,,3179.1614313807877,1.0,0.717529749830581,0.47765133731025244
1972438304486314112,321.3326772633923,46.71455529415191,29.33281123364935,0.041211154,5.502326,5.673272,5.202465,0.47080708,0.8026368,0.33174053,6907.3823,1.6356,6524.3227706761445,1.0,0.9979670801252231,0.9829534424863279
1982252790090609152,340.12915879559546,44.27635611227785,9.317049267554662,0.105066076,4.0652237,4.7555785,3.2701771,1.4854014,2.2663,0.8657167,,,3815.5973732275647,1.0,0.7887117492057564,0.6168395549318553
